role,question,option_a,option_b,option_c,option_d,answer
Python Developer,What does the 'def' keyword do?,Defines a function,Defines a class,Deletes a variable,Does nothing,A
Python Developer,What is a list in Python?,A data structure,A loop,A module,A file,A
Python Developer,How do you create an empty dictionary in Python?,dict(),{},Both A and B,None of the above,C
Python Developer,What is the output of 'print(3 * 'abc')'?,abcabcabc,abc abc abc,3abc,Error,A
Python Developer,Which keyword is used for exception handling?,try,except,finally,All of the above,D
Python Developer,What does PEP 8 refer to?,Python coding style guide,Python package,Python version,Python compiler,A
Python Developer,How do you comment in Python?,// comment,# comment,/* comment */,<!-- comment -->,B
Python Developer,What is the purpose of __init__ method?,Initialize object,Delete object,Import module,Exit program,A
Python Developer,Which module is used for regular expressions?,re,regex,pyre,reg,B
Python Developer,What does 'self' represent in a class?,Current object,Parent class,Module,None of the above,A
Python Developer,Which is NOT a Python built-in data type?,list,tuple,dict,array,D
Python Developer,What is the output of 'print(2**3)'?,6,8,9,23,B
Python Developer,Which function converts a string to lowercase?,lower(),toLower(),caseLower(),strLower(),A
Python Developer,What does the 'yield' keyword do?,Returns a generator,Returns a list,Returns a tuple,Returns a dictionary,A
Python Developer,Which operator is used for floor division?,/,//,%,**,B
Python Developer,What is the correct way to open a file?,open('file.txt'),open('file.txt','r'),Both A and B,None of the above,C
Python Developer,Which is used to measure code execution time?,timeit,datetime,time,clock,A
Python Developer,What does 'immutable' mean?,Cannot be changed,Can be changed,Can be deleted,Can be copied,A
Python Developer,Which is NOT a Python web framework?,Django,Flask,React,Pyramid,C
Python Developer,What is the purpose of virtualenv?,Create isolated Python environments,Install packages,Run tests,Debug code,A
role,question,option_a,option_b,option_c,option_d,answer
Python Developer,What does the 'def' keyword do?,Defines a function,Defines a class,Deletes a variable,Does nothing,A
Python Developer,What is a list in Python?,A data structure,A loop,A module,A file,A
Python Developer,How do you create an empty dictionary in Python?,dict(),{},Both A and B,None of the above,C
Python Developer,What is the output of 'print(3 * 'abc')'?,abcabcabc,abc abc abc,3abc,Error,A
Python Developer,Which keyword is used for exception handling?,try,except,finally,All of the above,D
Python Developer,What does PEP 8 refer to?,Python coding style guide,Python package,Python version,Python compiler,A
Python Developer,How do you comment in Python?,// comment,# comment,/* comment */,<!-- comment -->,B
Python Developer,What is the purpose of __init__ method?,Initialize object,Delete object,Import module,Exit program,A
Python Developer,Which module is used for regular expressions?,re,regex,pyre,reg,A
Python Developer,What does 'self' represent in a class?,Current object,Parent class,Module,None of the above,A
Python Developer,Which is NOT a Python built-in data type?,list,tuple,dict,array,D
Python Developer,What is the output of 'print(2**3)'?,6,8,9,23,B
Python Developer,Which function converts a string to lowercase?,lower(),toLower(),caseLower(),strLower(),A
Python Developer,What does the 'yield' keyword do?,Returns a generator,Returns a list,Returns a tuple,Returns a dictionary,A
Python Developer,Which operator is used for floor division?,/,//,%,**,B
Python Developer,What is the correct way to open a file?,open('file.txt'),open('file.txt','r'),Both A and B,None of the above,C
Python Developer,Which is used to measure code execution time?,timeit,datetime,time,clock,A
Python Developer,What does 'immutable' mean?,Cannot be changed,Can be changed,Can be deleted,Can be copied,A
Python Developer,Which is NOT a Python web framework?,Django,Flask,React,Pyramid,C
Python Developer,What is the purpose of virtualenv?,Create isolated Python environments,Install packages,Run tests,Debug code,A
Python Developer,What is the output of 'print(type(lambda x: x))'?,<class 'function'>,<class 'lambda'>,<class 'int'>,<class 'NoneType'>,A
Python Developer,Which method is used to add an item to a list?,append(),add(),insert(),push(),A
Python Developer,What does the 'zip()' function do?,Combines iterables,Compresses files,Encrypts data,Deletes variables,A
Python Developer,Which is NOT a valid Python variable name?,my_var,_var,123var,VarName,C
Python Developer,What is the purpose of '__name__ == '__main__''?,Check if script is run directly,Import a module,Define a class,Handle exceptions,A
Python Developer,Which module is used for working with dates and times?,datetime,time,calendar,All of the above,D
Python Developer,What does 'sys.argv' contain?,Command-line arguments,Environment variables,Python path,Installed packages,A
Python Developer,Which is used to create an abstract class?,abc module,abstract keyword,@abstract decorator,Both A and C,D
Python Developer,What is the purpose of 'with' statement?,Context management,Exception handling,Loop control,Function definition,A
Python Developer,Which is NOT a magic method in Python?,__init__,__str__,__call__,__function__,D
Python Developer,What does 'pass' do in Python?,Nothing (placeholder),Terminates program,Skips iteration,Imports module,A
Python Developer,Which is used to remove whitespace from string?,strip(),trim(),clean(),remove(),A
Python Developer,What is the output of 'print(True + True)'?,1,2,True,Error,B
Python Developer,Which is NOT a Python IDE?,PyCharm,VS Code,Jupyter,Eclipse,D
Python Developer,What does 'enumerate()' do?,Adds counter to iterable,Creates enumeration,Sorts items,Generates sequence,A
Python Developer,Which is used to make a shallow copy of a list?,list.copy(),list[:],copy.copy(),All of the above,D
Python Developer,What is the purpose of 'collections' module?,Specialized container datatypes,Collection utilities,Data structures,All of the above,D
Python Developer,Which is NOT a valid Python numeric type?,int,float,double,complex,C
Python Developer,What does 'os.path.join()' do?,Joins path components,Joins strings,Joins lists,Joins dictionaries,A
Python Developer,Which is used to convert string to integer?,int(),integer(),parseInt(),toInt(),A
Python Developer,What is the purpose of 'itertools' module?,Functions creating iterators,Math operations,String operations,File handling,A
Python Developer,Which is NOT a Python built-in function?,len(),sum(),avg(),max(),C
Python Developer,What does 'frozenset' do?,Creates immutable set,Freezes variable,Creates constant,None of the above,A
Python Developer,Which is used to sort a list in-place?,list.sort(),sorted(list),list.order(),sort(list),A
Python Developer,What is the purpose of 'globals()' function?,Returns global symbol table,Returns global variables,Both A and B,None of the above,C
Python Developer,Which is NOT a valid Python string method?,split(),join(),concat(),replace(),C
Python Developer,What does 'super()' do?,Returns parent class object,Returns superclass,Calls parent method,All of the above,D
Python Developer,Which is used to create a package in Python?,__init__.py,package.py,main.py,setup.py,A
Python Developer,What is the purpose of 'unittest' module?,Unit testing,Integration testing,Both A and B,None of the above,A
Python Developer,Which is NOT a Python built-in exception?,ValueError,TypeError,SyntaxError,FileError,D
Python Developer,What does 'staticmethod' do?,Creates static method,Creates class method,Both A and B,None of the above,A
Python Developer,Which is used to reverse a list?,list.reverse(),reversed(list),Both A and B,None of the above,C
Python Developer,What is the purpose of 'asyncio' module?,Asynchronous I/O,Event loop,Coroutines,All of the above,D
Python Developer,Which is NOT a valid Python logical operator?,and,or,not,xor,D
Python Developer,What does 'help()' function do?,Displays documentation,Provides assistance,Shows help menu,All of the above,A
Python Developer,Which is used to create a virtual environment?,venv,virtualenv,pipenv,All of the above,D
Python Developer,What is the purpose of 'typing' module?,Type hints,Type checking,Both A and B,None of the above,C
Python Developer,Which is NOT a valid Python comparison operator?,==,!=,<>,>=,C
Python Developer,What does 'locals()' function do?,Returns local symbol table,Returns local variables,Both A and B,None of the above,C
Python Developer,Which is used to create a generator expression?,Parentheses,Square brackets,Curly braces,None of the above,A
Python Developer,What is the purpose of '__slots__'?,Optimize memory usage,Prevent dynamic attributes,Both A and B,None of the above,C
role,question,option_a,option_b,option_c,option_d,answer
Data Scientist,Which library is primarily used for data manipulation in Python?,NumPy,Pandas,Matplotlib,Scikit-learn,B
